"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
4.1855746152256e-98,248,3300,4.10391842048167,"GO:0070887 cellular response to chemical stimulus "," http://amigo.geneontology.org/amigo/term/GO:0070887"," RARB  PGR  GSK3B  ESR1  JAK2  IKBKB  TYK2  JAK3  GSK3A  RPS6KB1  PPARD  VEGFA  NR3C1  PDGFRB  NFE2L2  MPL  F3  GHSR  FLT3  NR4A1  PTGER2  IL1B  THRA  RARA  PPARG  ESR2  IGF1R  PIK3R1  DRD2  FOXO1  THRB  DRD3  NR3C2  KIT  CCR5  JAK1  CXCR1  CCR1  GPER1  CYP2C19  STAT6  CHRM1  STAT3  IRS1  AR  PTGER4  RARG  SPHK1  HTR1A  ERN1  CXCR2  CHRM2  DRD1  PPARA  LRRK2  SRC  NTRK1  CHUK  NR1H4  HDAC1  IL6  ADAM17  HDAC2  MTOR  NR1H3  FLT4  HDAC9  SPHK2  MYLK  FGFR2  FGFR3  RORA  TXK  FGFR1  AKR1B1  FKBP1A  HDAC6  HSP90AB1  ABL1  EP300  FLT1  CA2  TRPA1  MAPK8  P2RX3  VDR  MAPK14  PDE4D  ABCG2  PLCG1  KDR  ALOX5AP  VHL  GSTM1  PDGFRA  MDM2  CDK9  ERBB2  AKT1  ADCY10  RORC  PARP1  NR1I2  AGTR1  GLRA1  PLA2G7  EGFR  PDCD4  BRAF  ALOX15  ATP1A1  FABP1  PRKCD  F2RL1  CASP3  SYK  GABRB3  AXL  DAPK3  INSR  EIF2AK3  RELA  AKR1C3  PTPN1  MME  DAPK1  AKR1B10  KDM1A  NOS2  BTK  GCLM  INSRR  PIK3CB  HDAC4  PTGS2  GLI2  NOX4  ACHE  BAX  MMP2  P2RX7  SLC9A1  CMA1  PTGS1  MAPK1  HMOX1  TSPO  MAPK3  CSK  AKT2  PIK3CG  SLC6A4  HSD17B1  CCND1  SLC1A2  ITGA4  EPHA4  SGK1  ESRRB  PTK2B  PIK3CA  RAF1  CASP9  EPHB2  CD36  CDK4  PRCP  CYP19A1  APP  MCL1  REN  CCNA2  SRD5A1  SIGMAR1  UGCG  PTGES  CHEK1  ACE  PTGER1  ALPL  TERT  SHH  CDK5  AVPR1A  ILK  PTGDR  GRM5  CDK1  FABP4  ALK  PRKCE  BCL2  ESRRA  PTPN2  YES1  CDK5R1  GRB2  IMPDH2  CSF1R  CHEK2  PDE4B  BACE1  CNR2  TRPV1  PIM3  TLR9  LYN  ITGB3  MMP12  CTSL  CTSS  PSEN1  PIK3CD  DAPK2  EPHA3  MAPK9  PRKCQ  ROCK1  PTK6  MET  SERPINE1  PTGFR  ROCK2  PIM1  ADAM10  PDK1  PRKCA  G6PD  RET  PIP4K2C  NCOR2  DPP4  PRKDC  MGAT3  MMP3  WNT3A  ADCY1  PLA2G1B  CYP24A1  HDAC5  NR1H2  PIK3C2A  CAMKK2  PTPN6  BCHE  CDK2  MAP3K7  CES2"
1.07732257535147e-97,191,1752,5.95333393271651,"GO:1901700 response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901700"," NOS2  CYP24A1  GSK3B  JAK2  SCD  TYK2  JAK3  GSK3A  RPS6KB1  NR4A1  PTGER2  IL1B  CYP19A1  IGF1R  PIK3R1  GLRA1  DRD2  FOXO1  DRD3  JAK1  GPER1  STAT6  CHRM1  STAT3  IRS1  PTGER4  HTR1A  CHRM2  DRD1  LRRK2  PPARG  NR1H4  NR1H3  HDAC9  SPHK2  RORA  P2RX7  ESR1  HDAC6  ABL1  CA2  TRPA1  MAPK8  P2RX3  VDR  MAPK14  PDE4D  PDGFRA  MDM2  IL6  ESR2  RORC  PARP1  AGTR1  EGFR  ADAM17  ATP1A1  FABP1  PRKCD  AXL  AR  INSR  RARG  RELA  ERN1  AKR1C3  AKR1B10  MTOR  KDM1A  BTK  GCLM  INSRR  TBXAS1  FGFR2  ROCK1  POLB  PTGS2  TYR  HSP90AA1  NOX4  ACHE  MMP2  SLC9A1  CMA1  HSP90AB1  MAPK1  HMOX1  TSPO  MAPK3  MMP15  CSK  AKT2  PIK3CG  CA9  SLC6A4  IL2  CCND1  SLC1A2  PPARD  PDGFRB  BCHE  TACR1  NFE2L2  EPHA4  GNPAT  CNR1  SGK1  PTK2B  GHSR  PIK3CA  PTGFR  RARA  RAF1  CASP9  EPHB2  CD36  CDK4  APP  AKT1  REN  CCNA2  SRD5A1  SIGMAR1  PDCD4  ACE  G6PD  PTGER1  ALPL  CASP3  CDK5  AVPR1A  PTGDR  GRM5  CDK1  ALK  PRKCE  BCL2  ESRRA  PTPN2  YES1  SPHK1  HSD11B2  CDK5R1  RPS6KA3  OXTR  F2R  CHEK2  PDE4B  BACE1  PPARA  CNR2  PTPN1  NCOR2  HDAC2  TRPV1  SRC  PIM3  NTRK1  TLR9  LYN  ITGB3  SRD5A2  CCR5  PSEN1  ITGA4  EPHA3  MAPK9  PRKCQ  PTK6  MET  SERPINE1  NR3C1  ROCK2  PIM1  PRKCA  RET  PIP4K2C  DAPK1  CHUK  PRKDC  GRB2  WNT3A  ADCY1  PLA2G1B  HDAC5  PIK3C2A  CAMKK2  CDK2  MMP13  MMP3  MMP12"
1.36937419785898e-97,246,3269,4.10942600300355,"GO:0010033 response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0010033"," NOS2  CYP24A1  RARB  PGR  GSK3B  ESR1  JAK2  SCD  IKBKB  TYK2  JAK3  GSK3A  RPS6KB1  PPARD  VEGFA  NR3C1  MPL  F3  GHSR  FLT3  NR4A1  PTGER2  IL1B  THRA  RARA  PPARG  CYP19A1  ESR2  IGF1R  PIK3R1  GLRA1  DRD2  FOXO1  THRB  DRD3  NR3C2  KIT  JAK1  GPER1  STAT6  CHRM1  STAT3  IRS1  AR  PTGER4  RARG  RELA  SPHK1  HTR1A  ERN1  CHRM2  DRD1  PPARA  LRRK2  SRC  NTRK1  CHUK  NR1H4  HDAC1  HDAC2  NR1H3  FLT4  HDAC9  SPHK2  FGFR2  FGFR3  RORA  TXK  FGFR1  FKBP1A  P2RX7  HSP90AB1  MAPK1  EP300  FLT1  MAPK3  CA2  MAPK8  P2RX3  CCND1  VDR  MAPK14  PDE4D  PDGFRB  PLCG1  KDR  ADORA2A  PDGFRA  CD36  MDM2  IL6  CDK9  ADAM10  ERBB2  AKT1  RORC  MCL1  PARP1  AGTR1  EGFR  PDCD4  ADAM17  ATP1A1  ADORA1  CCR1  PRKCD  F2RL1  CASP3  GABRB3  AXL  DAPK3  INSR  BCL2  EIF2AK3  CXCR2  AKR1C3  PTPN1  MME  DAPK1  AKR1B10  MTOR  KDM1A  BTK  GCLM  INSRR  TBXAS1  ROCK1  HDAC4  POLB  PTGS2  GLI2  ACACB  TYR  HSP90AA1  NOX4  ACHE  BAX  MMP2  SLC9A1  CMA1  HDAC6  ABL1  HMOX1  TSPO  MMP15  CSK  TRPA1  SQLE  AKT2  PIK3CG  CA9  SLC6A4  IL2  SLC1A2  BCHE  ITGA4  TACR1  NFE2L2  EPHA4  GNPAT  CNR1  SGK1  ESRRB  PTK2B  PIK3CA  PTGFR  AVPR2  RAF1  CASP9  EPHB2  CDK4  PRCP  APP  REN  CCNA2  SRD5A1  UGCG  CHEK1  ITGB1  MMP14  ACE  G6PD  CCR5  PTGER1  ALPL  CXCR1  CDK5  SYK  AVPR1A  ILK  PTGDR  GRM5  CDK1  FABP4  ALK  PRKCE  ESRRA  PTPN2  YES1  HSD11B2  CDK5R1  RPS6KA3  GRB2  IMPDH2  OXTR  F2R  CSF1R  CHEK2  PDE4B  BACE1  CNR2  NCOR2  TRPV1  PIM3  TLR9  LYN  ITGB3  MMP12  SRD5A2  CTSL  CTSS  SREBF2  PIK3CB  PSEN1  PIK3CD  EPHA3  PRKCQ  PTK6  SERPINE1  ROCK2  PIM1  PRKCA  ALOX15  RET  PIP4K2C  PRKDC  WNT3A  ADCY1  PLA2G1B  HDAC5  NR1H2  PIK3C2A  PTPN6  MAP3K7  MMP13  MMP3"
1.24856882910411e-92,284,4821,3.21693426580904,"GO:0042221 response to chemical "," http://amigo.geneontology.org/amigo/term/GO:0042221"," NOS2  CYP24A1  EPHA3  RARB  PGR  GSK3B  ESR1  JAK2  SCD  IKBKB  TYK2  JAK3  GSK3A  RPS6KB1  PPARD  VEGFA  NR3C1  PDGFRB  NFE2L2  EPHA4  MPL  F3  GHSR  FLT3  NR4A1  PTGER2  IL1B  THRA  RARA  PPARG  EPHB2  CYP19A1  ESR2  IGF1R  PIK3R1  GLRA1  DRD2  FOXO1  THRB  DRD3  NR3C2  KIT  CCR5  JAK1  CXCR1  CCR1  GPER1  CYP2C19  STAT6  CHRM1  STAT3  IRS1  AR  PTGER4  RARG  RELA  SPHK1  CDK5R1  HTR1A  ERN1  CXCR2  CHRM2  DRD1  PPARA  LRRK2  EPHB4  SRC  NTRK1  CHUK  NR1H4  HDAC1  IL6  ADAM17  HDAC2  MTOR  GCLM  NR1H3  FLT4  HDAC9  SPHK2  MYLK  FGFR2  FGFR3  RORA  TXK  FGFR1  AKR1B1  BAX  FKBP1A  P2RX7  HDAC6  HSP90AB1  ABL1  MAPK1  SLC5A1  HMOX1  EP300  FLT1  MAPK3  CA2  TRPA1  MET  MAPK8  SLC6A4  P2RX3  CCND1  VDR  MAPK14  PDE4D  ABCG2  PLCG1  KDR  ADORA2A  CA6  ALOX5AP  VHL  GSTM1  PDGFRA  CD36  MDM2  CDK9  ADAM10  ERBB2  AKT1  ADCY10  RORC  MCL1  PARP1  NR1I2  AGTR1  PLA2G7  EGFR  PDCD4  BRAF  ALOX15  ATP1A1  ADORA1  FABP1  PRKCD  F2RL1  CASP3  SYK  GABRB3  AXL  DAPK3  INSR  BCL2  EIF2AK3  LCK  PTGDR2  AKR1C3  PTPN1  MME  DAPK1  AKR1B10  KDM1A  BTK  NPC1L1  INSRR  MAPK9  PIK3CB  TBXAS1  ROCK1  HDAC4  POLB  PTGS2  GLI2  ACACB  TYR  HSP90AA1  NOX4  ACHE  MMP2  SLC9A1  CMA1  PTGS1  TSPO  MMP15  SLC6A2  CSK  SQLE  AKT2  PIK3CG  CA9  HSD17B1  IL2  SLC1A2  BCHE  ITGA4  TACR1  GNPAT  CNR1  SGK1  ESRRB  PTK2B  EPHX2  PIK3CA  PTGFR  AVPR2  RAF1  CASP9  CDK4  PRCP  PIK3C2G  APP  REN  CCNA2  SRD5A1  SIGMAR1  UGCG  PTGES  CHEK1  ITGB1  WNT3A  MMP14  ACE  G6PD  PTGER1  ALPL  TERT  SHH  ADCY1  CDK5  RET  AVPR1A  ILK  PTGDR  GRM5  CDK1  FABP4  ALK  PRKCE  PIK3CD  ESRRA  PTPN2  YES1  HSD11B2  RPS6KA3  GRB2  IMPDH2  OXTR  F2R  CSF1R  CHEK2  PDE4B  BACE1  CNR2  NCOR2  TRPV1  DPP4  PIM3  TLR9  LYN  ITGB3  MMP12  SRD5A2  CTSL  CTSS  TOP1  SREBF2  PSEN1  DAPK2  PRKCQ  PTK6  SERPINE1  ROCK2  PIM1  PDK1  PRKCA  PIP4K2C  PRKDC  MGAT3  MMP3  PLA2G1B  HDAC5  NR1H2  PIK3C2A  CAMKK2  PTPN6  CDK2  MAP3K7  MMP13  MAP2K1  CES2"
1.90902522151869e-84,156,1272,6.69728013689377,"GO:1901701 cellular response to oxygen-containing compound "," http://amigo.geneontology.org/amigo/term/GO:1901701"," GSK3B  JAK2  TYK2  JAK3  GSK3A  RPS6KB1  NR4A1  PTGER2  IL1B  IGF1R  PIK3R1  DRD2  FOXO1  DRD3  JAK1  GPER1  STAT6  CHRM1  STAT3  IRS1  PTGER4  HTR1A  CHRM2  DRD1  LRRK2  PPARG  NR1H4  NR1H3  HDAC9  SPHK2  RORA  ESR1  HDAC6  ABL1  CA2  TRPA1  MAPK8  P2RX3  VDR  MAPK14  PDE4D  PDGFRA  MDM2  IL6  ESR2  RORC  PARP1  AGTR1  GLRA1  EGFR  FABP1  PRKCD  AXL  AR  INSR  RELA  ERN1  AKR1C3  AKR1B10  MTOR  KDM1A  NOS2  BTK  GCLM  INSRR  FGFR2  PTGS2  NOX4  ACHE  MMP2  SLC9A1  CMA1  MAPK1  TSPO  MAPK3  CSK  AKT2  PIK3CG  SLC6A4  SLC1A2  PPARD  NFE2L2  EPHA4  SGK1  GHSR  PIK3CA  RARA  RAF1  CASP9  EPHB2  CD36  CDK4  APP  AKT1  CCNA2  SRD5A1  SIGMAR1  PDCD4  ACE  PTGER1  CDK5  AVPR1A  PTGDR  GRM5  CDK1  ALK  PRKCE  RARG  ESRRA  PTPN2  YES1  SPHK1  CDK5R1  CHEK2  PDE4B  BACE1  PTPN1  HDAC2  TRPV1  SRC  PIM3  TLR9  LYN  ITGB3  CCR5  PSEN1  ITGA4  EPHA3  MAPK9  PRKCQ  ROCK1  PTK6  MET  SERPINE1  NR3C1  PTK2B  PTGFR  ROCK2  PIM1  PRKCA  RET  PIP4K2C  DAPK1  CHUK  PRKDC  GRB2  WNT3A  ADCY1  PLA2G1B  CYP24A1  HDAC5  PIK3C2A  P2RX7  CAMKK2  CDK2  MMP3"
1.57100410518251e-83,209,2609,4.37454798928987,"GO:0071310 cellular response to organic substance "," http://amigo.geneontology.org/amigo/term/GO:0071310"," RARB  PGR  GSK3B  ESR1  JAK2  IKBKB  TYK2  JAK3  GSK3A  RPS6KB1  PPARD  VEGFA  NR3C1  MPL  F3  GHSR  FLT3  NR4A1  PTGER2  IL1B  THRA  RARA  PPARG  ESR2  IGF1R  PIK3R1  DRD2  FOXO1  THRB  DRD3  NR3C2  KIT  JAK1  GPER1  STAT6  STAT3  IRS1  AR  PTGER4  RARG  SPHK1  HTR1A  ERN1  DRD1  PPARA  LRRK2  SRC  NTRK1  CHUK  NR1H4  HDAC1  HDAC2  NR1H3  FLT4  HDAC9  SPHK2  FGFR2  FGFR3  RORA  TXK  FGFR1  FKBP1A  HSP90AB1  EP300  FLT1  CA2  MAPK8  P2RX3  VDR  MAPK14  PDE4D  PDGFRB  PLCG1  KDR  PDGFRA  MDM2  IL6  CDK9  ERBB2  AKT1  RORC  PARP1  AGTR1  GLRA1  EGFR  PDCD4  ATP1A1  CCR1  PRKCD  F2RL1  CASP3  GABRB3  AXL  DAPK3  INSR  EIF2AK3  RELA  CXCR2  AKR1C3  PTPN1  MME  DAPK1  MTOR  KDM1A  NOS2  BTK  GCLM  INSRR  HDAC4  PTGS2  GLI2  NOX4  BAX  MMP2  P2RX7  SLC9A1  CMA1  HDAC6  ABL1  MAPK1  TSPO  MAPK3  CSK  TRPA1  AKT2  PIK3CG  SLC6A4  CCND1  SLC1A2  ITGA4  NFE2L2  EPHA4  SGK1  ESRRB  PTK2B  PIK3CA  RAF1  CASP9  EPHB2  CD36  CDK4  PRCP  APP  REN  CCNA2  SRD5A1  UGCG  CHEK1  ACE  CCR5  PTGER1  ALPL  CXCR1  CDK5  SYK  ILK  PTGDR  CHRM1  GRM5  CDK1  FABP4  ALK  PRKCE  BCL2  ESRRA  PTPN2  YES1  GRB2  IMPDH2  CHRM2  CSF1R  CHEK2  PDE4B  BACE1  TRPV1  PIM3  TLR9  LYN  ITGB3  MMP12  CTSL  CTSS  PIK3CB  PSEN1  PIK3CD  EPHA3  PRKCQ  ROCK1  PTK6  SERPINE1  PTGFR  ROCK2  PIM1  ADAM17  PRKCA  ALOX15  RET  PIP4K2C  NCOR2  PRKDC  WNT3A  ADCY1  PLA2G1B  CYP24A1  HDAC5  NR1H2  PIK3C2A  PTPN6  MAP3K7"
2.50060617344695e-80,251,4103,3.34066696642599,"GO:0065008 regulation of biological quality "," http://amigo.geneontology.org/amigo/term/GO:0065008"," GSK3B  ITGB3  ILK  NOS2  GABRA1  PTGER3  TXK  ATP12A  PSEN1  HSP90AA1  ACHE  SLC9A1  TYRO3  HSP90AB1  JAK2  HMOX1  F9  SLC6A2  CA2  DMPK  JAK3  SLC6A4  LNPEP  BCHE  EPHX2  PTGFR  PTGER2  AVPR2  GPR55  BLK  PRCP  IGF1R  REN  AGTR1  GLRA1  CYP17A1  DRD2  DRD3  GABRA2  ACE  CCR5  PTGER1  CCKAR  ATP1A1  CXCR1  CCR1  F2RL1  CASP3  SYK  AVPR1A  GABRB3  ANPEP  AXL  PTGDR  CA7  INSR  PTGER4  DHCR7  F2  CXCR2  OXTR  F2R  GABRA5  LRRK2  AKR1C3  TRPV1  SRC  LYN  SERPINE1  PDE4D  F3  ACE2  DRD1  NR1H4  NR1H3  HDAC9  BAX  FKBP1A  P2RX7  TRPA1  HSD17B1  VEGFA  TACR1  IL1B  KDR  HSD17B7  PDGFRA  MDM2  IL6  CYP19A1  APP  CTSK  PIK3R1  HDAC8  PRKCA  WNT3A  ALPL  TERT  GPER1  PLK1  IRS1  UGT2B7  HDAC3  BCL2  ERN1  HCAR2  CHEK2  MME  SRD5A2  FGR  KDM1A  BTK  GCLM  PIK3CB  SOAT1  TBXAS1  PRKCQ  ROCK1  RORA  POLB  GBA2  PTGS2  ACACB  AKR1B1  NOX4  MMP2  ESR1  CMA1  HDAC6  PTGS1  ABL1  MAPK1  TSPO  EP300  MAPK3  CSK  GSK3A  PIK3CG  LIMK1  ALOX12  IL2  P2RX3  CCND1  SLC1A2  VDR  PTPN6  PPARD  MAPK14  NR3C1  NFE2L2  EPHA4  MPL  FAAH  TTR  CNR1  PTK2B  FABP3  GHSR  PIK3CA  NR4A1  THRA  ADORA2A  MCHR1  NR1H2  RARA  RAF1  PPARG  EPHB2  CD36  PIM1  ADAM10  AKT1  PARP1  SRD5A1  UGCG  PTGES  ITGB1  FOXO1  THRB  MERTK  ADAMTS5  KIT  CCNB2  BRAF  ALOX15  ADORA1  ABHD6  PRKCD  FABP5  SHH  ADCY1  CDK5  RET  STAT6  DAPK3  SOAT2  CHRM1  STAT3  GRM5  AR  FABP4  ALK  PRKCE  GRIK1  PTPN2  HSD11B2  CDK5R1  GRB2  HTR1A  CHRM2  CSF1R  PDE4B  BACE1  PPARA  CNR2  MAOA  NCOR2  AKR1B10  PIM3  NTRK1  MTOR  SREBF2  TLR9  PRKDC  LCK  AMPD2  CTSA  AURKA  AKT2  MET  PLCG1  CCNH  G6PD  PIK3CD  SCD  ESRRB  FLT3  ROCK2  CTSL  ADAM17  PLA2G1B  PLA2G2A  VHL  MCL1  PIK3C2A  MAPK8  SGK1  PLA2G7  RARG  YES1  DPP4"
5.51183468620248e-79,169,1684,5.48031593149621,"GO:0006468 protein phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0006468"," PRKCQ  ROCK1  CSNK2A2  MAP4K4  TXK  JAK2  CSNK2A1  IKBKB  DMPK  CCNE1  AKT2  TYK2  JAK3  RPS6KB1  CCND1  CAMKK2  VEGFA  CSNK1A1  SGK1  CDK2  CDK8  CCNB1  ROCK2  CCNH  CDK4  CDK9  PIM1  AKT1  CDC42BPA  CCNA2  CHEK1  PDK1  PRKCA  KIT  CCNB2  DYRK1A  JAK1  PRKCD  CDK5  CDK1  PRKCE  CDK5R1  RPS6KA3  CLK3  LRRK2  PIM3  MTOR  CHUK  HSP90AB1  AURKB  SRC  FGR  BTK  DAPK2  FLT4  EPHA3  MAPK9  TNK2  FGFR2  FGFR3  FGFR1  HSP90AA1  GSK3B  AURKA  TYRO3  ABL1  MAPK1  PTK6  CDC25B  FLT1  MAPK3  GSK3A  PIK3CG  LIMK1  MAPK8  IL2  PTPN6  PDGFRB  EPHA4  PTK2B  IL1B  MAP2K2  KDR  CCNT1  RAF1  PPARG  PDGFRA  MAP3K7  IL6  BLK  NEK1  MAP3K12  IGF1R  ERBB2  BRD4  APP  EGFR  ADAM17  WNT3A  BRAF  GPER1  SYK  ILK  PLK1  DAPK3  MAP2K1  ALK  INSR  HDAC3  EIF2AK3  TNKS  PTPN2  ERN1  F2  CSF1R  LCK  CHEK2  PTPN1  EPHB4  DAPK1  NTRK1  TLR9  PRKDC  LYN  INSRR  PIK3CB  MYLK  PTGS2  PSEN1  NOX4  BAX  P2RX7  HDAC6  CSK  MET  MAPK10  MAPK14  HMGCR  PIK3CA  FLT3  ADORA2A  EPHB2  CD36  ADAM10  PDE5A  PIK3R1  DRD2  MERTK  ACE  ADORA1  CASP3  RET  WEE1  AXL  GRM5  FABP4  BCL2  YES1  DRD1  HDAC2  ITGB3  RARA  SPHK1  TOP1  PDE4D  PDCD4  PLA2G1B  PIK3CD  CDC25A"
1.4595426346014e-78,181,1994,4.95694841086505,"GO:0016310 phosphorylation "," http://amigo.geneontology.org/amigo/term/GO:0016310"," INSRR  FLT4  EPHA3  SPHK2  PRKCQ  FGFR2  ROCK1  FGFR3  CSNK2A2  MAP4K4  TXK  FGFR1  TYRO3  JAK2  CSNK2A1  FLT1  IKBKB  DMPK  CCNE1  AKT2  TYK2  JAK3  MET  RPS6KB1  CCND1  CAMKK2  VEGFA  CSNK1A1  PDGFRB  EPHA4  SGK1  FLT3  CDK2  KDR  CDK8  EPHB2  CCNB1  ROCK2  CCNH  PDGFRA  CDK4  CDK9  PIM1  IGF1R  ERBB2  AKT1  CDC42BPA  CCNA2  PIK3R1  EGFR  CHEK1  PDK1  MERTK  PRKCA  KIT  CCNB2  DYRK1A  JAK1  PRKCD  CDK5  RET  AXL  CDK1  ALK  INSR  PRKCE  SPHK1  CDK5R1  RPS6KA3  CLK3  CSF1R  LRRK2  EPHB4  PIM3  NTRK1  MTOR  CHUK  HSP90AB1  AURKB  SRC  FGR  BTK  DAPK2  MAPK9  PIK3CB  TNK2  PSEN1  HSP90AA1  GSK3B  AURKA  ABL1  MAPK1  EP300  PTK6  CDC25B  MAPK3  GSK3A  PIK3CG  LIMK1  MAPK8  IL2  PTPN6  PTK2B  PIK3CA  IL1B  MAP2K2  CCNT1  RAF1  PPARG  MAP3K7  IL6  BLK  NEK1  MAP3K12  BRD4  APP  ADAM17  WNT3A  BRAF  GPER1  SYK  ILK  PLK1  DAPK3  MAP2K1  PIK3CD  HDAC3  EIF2AK3  TNKS  PTPN2  ERN1  F2  LCK  CHEK2  PPARA  PTPN1  DAPK1  TLR9  PRKDC  LYN  PIK3C2A  MYLK  HDAC4  PTGS2  NOX4  BAX  P2RX7  HDAC6  CSK  MAPK10  MAPK14  HMGCR  COQ8B  ADORA2A  CD36  ADAM10  PDE5A  PIK3C2G  DRD2  ACE  ADORA1  CASP3  WEE1  PIP4K2C  STAT3  GRM5  FABP4  BCL2  YES1  DRD1  HDAC2  ITGB3  IKBKG  RARA  AR  TOP1  PDE4D  PDCD4  IRS1  PLA2G1B  CDC25A"
4.030622343106e-78,167,1660,5.49375593064382,"GO:0009719 response to endogenous stimulus "," http://amigo.geneontology.org/amigo/term/GO:0009719"," NOS2  RARB  PGR  GSK3B  ESR1  JAK2  TYK2  JAK3  GSK3A  RPS6KB1  PPARD  NR3C1  GHSR  NR4A1  PTGER2  THRA  RARA  PPARG  ESR2  PIK3R1  DRD2  FOXO1  THRB  DRD3  NR3C2  JAK1  GPER1  STAT6  STAT3  IRS1  AR  PTGER4  RARG  HTR1A  DRD1  PPARA  LRRK2  SRC  NTRK1  NR1H4  HDAC1  HDAC2  NR1H3  HDAC9  FGFR2  FGFR3  FGFR1  FKBP1A  HSP90AB1  MAPK1  EP300  MAPK3  CA2  P2RX3  CCND1  PDE4D  PLCG1  MDM2  IL6  PARP1  AGTR1  GLRA1  PDCD4  ATP1A1  PRKCD  GABRB3  INSR  AKR1C3  MTOR  KDM1A  GCLM  INSRR  ROCK1  HDAC4  PTGS2  HSP90AA1  MMP2  SLC9A1  ABL1  HMOX1  TSPO  CSK  AKT2  PIK3CG  SLC6A4  SLC1A2  MAPK14  PDGFRB  BCHE  TACR1  NFE2L2  EPHA4  SGK1  ESRRB  PTK2B  PIK3CA  FLT3  IL1B  KDR  CASP9  EPHB2  PDGFRA  CD36  CDK4  PRCP  IGF1R  APP  AKT1  REN  CCNA2  SRD5A1  EGFR  UGCG  CHEK1  ITGB1  MMP14  KIT  ACE  PTGER1  ALPL  CASP3  CDK5  SYK  AVPR1A  ILK  PTGDR  CHRM1  GRM5  ALK  PRKCE  BCL2  ESRRA  PTPN2  YES1  HSD11B2  GRB2  OXTR  CHRM2  PDE4B  BACE1  PTPN1  MME  TRPV1  TLR9  LYN  ITGB3  SRD5A2  CTSL  CTSS  SREBF2  PSEN1  ITGA4  PRKCQ  PTGFR  ERBB2  ADAM17  PIP4K2C  RELA  NCOR2  PRKDC  ROCK2  PLA2G1B  HDAC5  PIK3C2A  P2RX7  HDAC6  MAP3K7"
