"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.50577784492252e-27,55,429,7.00110152377455,"GO:0043235 receptor complex "," http://amigo.geneontology.org/amigo/term/GO:0043235"," ITGA2B  GABRA1  INSRR  FLT4  EPHA3  FGFR2  FGFR3  FGFR1  TYRO3  FLT1  MET  PDGFRB  ITGA4  EPHA4  FLT3  KDR  EPHB2  PDGFRA  IL6  IGF1R  ERBB2  EGFR  GABRA2  MERTK  KIT  RET  GABRB3  AXL  ALK  INSR  CSF1R  GABRA5  EPHB4  NTRK1  JAK2  TYK2  NR1H4  NR1H3  HSP90AB1  P2RX3  VDR  PPARG  APP  ITGB1  NR3C2  SYK  ITGB3  PTPN6  PTK2B  ABHD6  LYN  CD36  IKBKB  IRS1  CHUK"
1.87803468699003e-25,109,1894,3.14273311273132,"GO:0005887 integral component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0005887"," ITGA2B  GABRA1  INSRR  FLT4  EPHA3  SLC2A3  FGFR2  FGFR3  FGFR1  PSEN1  NOX4  TYRO3  FLT1  SLC6A2  MET  SLC6A4  PDGFRB  ITGA4  EPHA4  F3  FLT3  AVPR2  KDR  ADORA2A  MCHR1  EPHB2  PDGFRA  GPR55  IL6  IGF1R  ERBB2  PSEN2  GLRA1  EGFR  DRD2  DRD3  GABRA2  MERTK  MMP16  KIT  CCKAR  ADORA1  SLC2A2  F2RL1  ADCY1  RET  AVPR1A  GABRB3  AXL  CHRM1  GRM5  ALK  INSR  HTR1A  OXTR  CHRM2  F2R  CSF1R  PTGDR2  DRD1  GABRA5  EPHB4  TRPV1  NTRK1  P2RX7  JAK2  TYK2  AGTR1  NPC1L1  SLC9A1  SLC1A2  LNPEP  ITGB1  ADAM17  ACE  ATP1A1  BACE1  ITGB3  MMP15  P2RX3  CNR1  PTK2B  GHSR  ABHD6  LYN  TRPA1  IKBKB  IRS1  CHUK  MME  PTGER3  ATP12A  SLC5A1  FCER2  TACR1  PTGFR  SLC10A2  PTGER2  CD36  APP  PTPRF  MMP14  CCR5  PTGER1  CCR1  GPER1  GRIK1  CXCR2  CNR2"
1.20380945116384e-24,110,1978,3.03687821405388,"GO:0031226 intrinsic component of plasma membrane "," http://amigo.geneontology.org/amigo/term/GO:0031226"," ITGA2B  GABRA1  INSRR  FLT4  EPHA3  SLC2A3  FGFR2  FGFR3  FGFR1  PSEN1  NOX4  TYRO3  FLT1  SLC6A2  MET  SLC6A4  PDGFRB  ITGA4  EPHA4  F3  FLT3  AVPR2  KDR  ADORA2A  MCHR1  EPHB2  PDGFRA  GPR55  IL6  IGF1R  ERBB2  PSEN2  GLRA1  EGFR  DRD2  DRD3  GABRA2  MERTK  MMP16  KIT  CCKAR  ADORA1  SLC2A2  F2RL1  ADCY1  RET  AVPR1A  GABRB3  AXL  CHRM1  GRM5  ALK  INSR  HTR1A  OXTR  CHRM2  F2R  CSF1R  PTGDR2  DRD1  GABRA5  EPHB4  TRPV1  NTRK1  P2RX7  JAK2  TYK2  AGTR1  NPC1L1  SLC9A1  SLC1A2  LNPEP  ITGB1  ADAM17  ACE  ATP1A1  CA4  BACE1  ITGB3  MMP15  P2RX3  CNR1  PTK2B  GHSR  ABHD6  LYN  TRPA1  IKBKB  IRS1  CHUK  MME  PTGER3  ATP12A  SLC5A1  FCER2  TACR1  PTGFR  SLC10A2  PTGER2  CD36  APP  PTPRF  MMP14  CCR5  PTGER1  CCR1  GPER1  GRIK1  CXCR2  CNR2"
8.61997713926167e-23,45,351,7.00110152377455,"GO:0045121 membrane raft "," http://amigo.geneontology.org/amigo/term/GO:0045121"," PSEN1  CD36  APP  PSEN2  LRRK2  BTK  SLC9A1  HDAC6  SLC6A4  SLC1A2  CTSD  ABCG2  GHSR  KDR  EGFR  ITGB1  ADAM17  IRS1  INSR  F2R  LCK  MME  SRC  LYN  PTGS2  JAK2  MAPK1  HMOX1  MAPK3  SLC6A2  CSK  IKBKB  P2RX3  CNR1  PTK2B  IGF1R  CASP3  SHH  ADCY1  RET  STAT6  BACE1  DPP4  ATP1A1  ACE2"
8.61997713926167e-23,45,352,6.98121203080929,"GO:0098857 membrane microdomain "," http://amigo.geneontology.org/amigo/term/GO:0098857"," PSEN1  CD36  APP  PSEN2  LRRK2  BTK  SLC9A1  HDAC6  SLC6A4  SLC1A2  CTSD  ABCG2  GHSR  KDR  EGFR  ITGB1  ADAM17  IRS1  INSR  F2R  LCK  MME  SRC  LYN  PTGS2  JAK2  MAPK1  HMOX1  MAPK3  SLC6A2  CSK  IKBKB  P2RX3  CNR1  PTK2B  IGF1R  CASP3  SHH  ADCY1  RET  STAT6  BACE1  DPP4  ATP1A1  ACE2"
5.84281458220163e-20,81,1332,3.32079274979036,"GO:0098590 plasma membrane region "," http://amigo.geneontology.org/amigo/term/GO:0098590"," GABRA1  MYLK  PSEN1  SLC6A2  MET  SLC10A2  CD36  ADAM10  ERBB2  PSEN2  GLRA1  EGFR  DRD2  GABRA2  GRM5  GRIK1  GABRA5  TNK2  ATP12A  HDAC6  SLC5A1  SLC1A2  ABCG2  PLCG1  ACE2  ITGB1  ADAM17  ATP1A1  CA4  IRS1  INSR  SPHK1  F2R  DRD1  LRRK2  SRC  DPP4  TLR9  ITGB3  FGR  NPC1L1  PTGS2  HSP90AA1  SLC9A1  HSP90AB1  JAK2  MAPK1  HMOX1  MAPK3  AKT2  DNM1  CA9  SLC6A4  P2RX3  PDE4D  PDGFRB  EPHA4  CNR1  GHSR  ADORA2A  MCHR1  EPHB2  CTSL  IGF1R  SLC5A2  APP  ADCY10  CTSK  SIGMAR1  DRD3  ACE  ADORA1  SLC2A2  ABHD6  ADCY1  GABRB3  CHRM1  OXTR  CHRM2  TRPV1  GPER1"
2.59916572637437e-18,109,2360,2.52217648962421,"GO:0120025 plasma membrane bounded cell projection "," http://amigo.geneontology.org/amigo/term/GO:0120025"," GABRA1  INSRR  EPHA3  MYLK  PTGS2  PSEN1  GSK3B  PTGS1  SLC6A2  GSK3A  LIMK1  SLC6A4  TACR1  EPHA4  PTK2B  MCHR1  EPHB2  IGF1R  PSEN2  GLRA1  GABRA2  ADORA1  RET  GABRB3  CHRM1  INSR  CDK5R1  HTR1A  CHRM2  PTGDR2  GABRA5  LRRK2  EPHB4  NTRK1  AURKA  HDAC6  PTK6  ABCG2  GHSR  PLCG1  ACE2  APP  ADCY10  EGFR  DRD2  ITGB1  ADAM17  ATP1A1  CA4  DRD1  DPP4  ITGB3  FGR  NPC1L1  ROCK1  GLI2  HSP90AA1  HSP90AB1  ABL1  MAPK1  MAPK3  AKT2  CA9  RPS6KB1  P2RX3  SLC1A2  CAMKK2  GLI1  ITGA4  MPL  CNR1  PIK3CA  SLC10A2  ADORA2A  RARA  RAF1  PDGFRA  CD36  ADAM10  MAP3K12  AKT1  PTPRF  CDC42BPA  SRD5A1  SIGMAR1  CYP17A1  MERTK  DYRK1A  BRAF  ACE  F2RL1  GPER1  CDK5  ILK  GRM5  OXTR  PDE4B  BACE1  CNR2  MME  TRPV1  SRC  MTOR  SRD5A2  P2RX7  SLC5A1  MAPK8  CSNK1A1  SLC9A1"
3.31840669000358e-18,162,4466,1.98087592598332,"GO:0031982 vesicle "," http://amigo.geneontology.org/amigo/term/GO:0031982"," FGR  LAP3  PIK3C2A  SLC2A3  CTSA  HSP90AA1  AKR1B1  BAX  SLC9A1  PTGS1  HSP90AB1  SLC5A1  TSPO  TUBB1  F9  CSK  CA2  FCER2  TYK2  DNM1  ALOX12  ALDH2  PTPN6  ITGA4  CTSD  TTR  EPHX2  LYPLA1  FABP3  GLO1  DUT  SHBG  ACE2  CA6  CA1  CTSL  PRCP  MMP7  ADAM10  NAAA  SLC5A2  APP  PTPRF  ACP1  CDC42BPA  ITGB1  PRKCA  ACE  G6PD  EIF4A1  ALPL  ATP1A1  FABP1  PRKCD  FABP5  ADCY1  ANPEP  PIP4K2C  CA4  AXL  CDK1  FABP4  ALK  INSR  YES1  RNPEP  DPP7  GRB2  IMPDH2  F2  LCK  PLA2G2A  LRRK2  AKR1C3  EPHB4  MME  SRC  DPP4  LYN  ITGB3  NOS2  BACE1  ITGA2B  EPHA3  TNK2  FGFR3  CMA1  SERPINE1  VEGFA  CDK2  AVPR2  KDR  ERBB2  AKT1  EGFR  GABRA2  MMP14  CCR5  CTSS  F2RL1  GPER1  RET  AVPR1A  SPHK1  F2R  PTPN1  MTOR  BTK  NPC1L1  GABRA1  DAPK2  FGFR2  CSNK2A2  TYR  FGFR1  PSEN1  MAPK1  FLT1  MAPK3  AKT2  SLC6A4  SLC1A2  LNPEP  PDGFRB  EPHA4  IL1B  PLA2G5  PSEN2  SIGMAR1  DRD2  DRD3  KIT  ABHD6  SYK  GABRB3  BMP1  PLA2G1B  CLK3  PDE4B  NTRK1  SREBF2  TLR9  ROCK1  HDAC6  JAK2  JAK3  IMPDH1  MAPK14  MMP8  FLT3  MAP2K2  AMPD3  CD36  MAP3K7  MDM2  CTSK  WNT3A  JAK1  CXCR1  MAP2K1  CXCR2  CHRM2"
8.2509311091126e-18,111,2477,2.44713512284377,"GO:0042995 cell projection "," http://amigo.geneontology.org/amigo/term/GO:0042995"," GABRA1  INSRR  EPHA3  MYLK  PTGS2  PSEN1  GSK3B  PTGS1  SLC6A2  GSK3A  LIMK1  SLC6A4  TACR1  EPHA4  PTK2B  MCHR1  EPHB2  IGF1R  PSEN2  GLRA1  GABRA2  ADORA1  RET  GABRB3  CHRM1  INSR  CDK5R1  HTR1A  CHRM2  PTGDR2  GABRA5  LRRK2  EPHB4  NTRK1  AURKA  HDAC6  PTK6  ABCG2  GHSR  PLCG1  ACE2  APP  ADCY10  EGFR  DRD2  ITGB1  ADAM17  ATP1A1  CA4  DRD1  DPP4  ITGB3  FGR  NPC1L1  SLC2A3  ROCK1  GLI2  HSP90AA1  HSP90AB1  ABL1  MAPK1  MAPK3  AKT2  CA9  RPS6KB1  P2RX3  SLC1A2  CAMKK2  GLI1  CSNK1A1  ITGA4  MPL  CNR1  PIK3CA  SLC10A2  ADORA2A  RARA  RAF1  PDGFRA  CD36  ADAM10  MAP3K12  AKT1  PTPRF  CDC42BPA  SRD5A1  SIGMAR1  CYP17A1  DRD3  MERTK  DYRK1A  BRAF  ACE  F2RL1  GPER1  CDK5  ILK  GRM5  OXTR  PDE4B  BACE1  CNR2  MME  TRPV1  SRC  MTOR  SRD5A2  P2RX7  SLC5A1  MAPK8  SLC9A1"
1.12723991438459e-16,60,888,3.68976972198929,"GO:0036477 somatodendritic compartment "," http://amigo.geneontology.org/amigo/term/GO:0036477"," GABRA1  PSEN1  HSP90AA1  SLC6A2  EPHA4  PTK2B  PSEN2  GABRA2  ADORA1  CHRM1  HTR1A  CHRM2  GABRA5  LRRK2  APP  MME  SLC2A3  AURKA  P2RX7  HDAC6  HSP90AB1  ABL1  P2RX3  ITGA4  TACR1  HDAC1  MPL  ADORA2A  RARA  EPHB2  ADAM10  IGF1R  PTPRF  ADCY10  SRD5A1  GLRA1  CYP17A1  DRD2  ITGB1  DYRK1A  CASP3  GPER1  CDK5  RET  GRM5  CDK5R1  PDE4B  DRD1  BACE1  CNR2  TRPV1  SRC  NTRK1  MTOR  TOP1  SRD5A2  GSK3B  MAPK8  INSR  GSK3A"
