"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.27945044967619e-82,106,470,12.3159802975677,"GO:0004712 protein serine/threonine/tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004712"," MAP2K2  MAP2K1  TNK2  RPS6KB1  SGK1  AKT1  FGR  BTK  INSRR  DAPK2  FLT4  EPHA3  MAPK9  PRKCQ  FGFR2  ROCK1  FGFR3  CSNK2A2  MAP4K4  TXK  FGFR1  GSK3B  AURKA  TYRO3  JAK2  ABL1  MAPK1  PTK6  CSNK2A1  FLT1  MAPK3  CSK  IKBKB  DMPK  AKT2  TYK2  JAK3  GSK3A  PIK3CG  MET  LIMK1  MAPK8  MAPK10  CAMKK2  MAPK14  CSNK1A1  PDGFRB  EPHA4  PTK2B  PIK3CA  FLT3  CDK2  KDR  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  MAP3K7  CDK4  BLK  CDK9  PIM1  NEK1  MAP3K12  IGF1R  ERBB2  CDC42BPA  EGFR  CHEK1  MERTK  PRKCA  KIT  DYRK1A  BRAF  JAK1  PRKCD  CDK5  SYK  RET  WEE1  PLK1  AXL  DAPK3  CDK1  ALK  INSR  PRKCE  EIF2AK3  YES1  RPS6KA3  ERN1  AURKB  CLK3  CSF1R  LCK  CHEK2  LRRK2  EPHB4  DAPK1  SRC  PIM3  NTRK1  MTOR  PRKDC  LYN"
2.3087592048709e-79,115,632,9.93668997915471,"GO:0004672 protein kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004672"," FGR  BTK  PRKCQ  AURKA  JAK2  ABL1  PTK6  IKBKB  TYK2  CSNK1A1  KDR  MAP3K7  AKT1  PDK1  PRKCA  JAK1  PRKCD  SYK  PLK1  AXL  YES1  AURKB  LCK  LRRK2  SRC  MTOR  LYN  INSRR  DAPK2  FLT4  EPHA3  MAPK9  TNK2  MYLK  FGFR2  ROCK1  FGFR3  CSNK2A2  MAP4K4  TXK  FGFR1  GSK3B  TYRO3  MAPK1  CSNK2A1  FLT1  MAPK3  CSK  DMPK  AKT2  JAK3  GSK3A  MET  LIMK1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  PDGFRB  EPHA4  SGK1  PTK2B  FLT3  CDK2  MAP2K2  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  CDK4  BLK  CDK9  PIM1  NEK1  MAP3K12  IGF1R  ERBB2  CDC42BPA  EGFR  CHEK1  MERTK  KIT  DYRK1A  BRAF  CDK5  RET  WEE1  DAPK3  MAP2K1  CDK1  ALK  INSR  PRKCE  EIF2AK3  RPS6KA3  ERN1  CLK3  CSF1R  CHEK2  EPHB4  DAPK1  PIM3  NTRK1  CHUK  PRKDC  PIK3CB  PIK3CG  ILK  CCND1  PIK3CA  BRD4  TOP1  CDK5R1"
7.89429776249855e-78,121,748,8.83374280499789,"GO:0016773 phosphotransferase activity alcohol group as acceptor "," http://amigo.geneontology.org/amigo/term/GO:0016773"," FGR  BTK  PRKCQ  AURKA  JAK2  ABL1  PTK6  IKBKB  TYK2  CSNK1A1  KDR  MAP3K7  AKT1  PDK1  PRKCA  JAK1  PRKCD  SYK  PLK1  AXL  YES1  AURKB  LCK  LRRK2  SRC  MTOR  LYN  PIK3C2A  INSRR  DAPK2  FLT4  EPHA3  MAPK9  PIK3CB  TNK2  MYLK  FGFR2  ROCK1  FGFR3  CSNK2A2  MAP4K4  TXK  FGFR1  GSK3B  TYRO3  MAPK1  CSNK2A1  FLT1  MAPK3  CSK  DMPK  AKT2  JAK3  GSK3A  PIK3CG  MET  LIMK1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  PDGFRB  EPHA4  SGK1  PTK2B  PIK3CA  FLT3  CDK2  MAP2K2  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  CDK4  BLK  CDK9  PIM1  NEK1  PIK3C2G  MAP3K12  IGF1R  ERBB2  CDC42BPA  EGFR  CHEK1  MERTK  KIT  DYRK1A  BRAF  CDK5  RET  WEE1  PIP4K2C  DAPK3  MAP2K1  CDK1  ALK  INSR  PRKCE  PIK3CD  EIF2AK3  RPS6KA3  ERN1  CLK3  CSF1R  CHEK2  EPHB4  DAPK1  PIM3  NTRK1  CHUK  PRKDC  SPHK2  ILK  SPHK1  CCND1  BRD4  TOP1  CDK5R1"
1.02813398606601e-75,125,849,8.0401342587517,"GO:0016301 kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0016301"," FGR  BTK  PRKCQ  AURKA  JAK2  ABL1  PTK6  IKBKB  TYK2  CSNK1A1  KDR  MAP3K7  AKT1  PDK1  PRKCA  JAK1  PRKCD  SYK  PLK1  AXL  YES1  AURKB  LCK  LRRK2  SRC  MTOR  LYN  PIK3C2A  INSRR  DAPK2  FLT4  EPHA3  MAPK9  PIK3CB  TNK2  SPHK2  MYLK  FGFR2  ROCK1  FGFR3  CSNK2A2  MAP4K4  TXK  FGFR1  GSK3B  TYRO3  MAPK1  CSNK2A1  FLT1  MAPK3  CSK  DMPK  AKT2  JAK3  GSK3A  PIK3CG  MET  LIMK1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  PDGFRB  EPHA4  SGK1  PTK2B  PIK3CA  FLT3  CDK2  COQ8B  MAP2K2  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  CDK4  BLK  CDK9  PIM1  NEK1  PIK3C2G  MAP3K12  IGF1R  ERBB2  CDC42BPA  EGFR  CHEK1  MERTK  KIT  DYRK1A  BRAF  CDK5  RET  WEE1  PIP4K2C  DAPK3  MAP2K1  CDK1  ALK  INSR  PRKCE  PIK3CD  EIF2AK3  SPHK1  RPS6KA3  ERN1  CLK3  CSF1R  CHEK2  EPHB4  DAPK1  PIM3  NTRK1  CHUK  PRKDC  ILK  CCNE1  CCND1  PIK3R1  CDK5R1  IKBKG  BRD4  TOP1"
6.95614238829925e-72,130,1008,7.04277474713036,"GO:0016772 transferase activity transferring phosphorus-containing groups "," http://amigo.geneontology.org/amigo/term/GO:0016772"," FGR  BTK  PRKCQ  AURKA  JAK2  ABL1  PTK6  IKBKB  GYS1  TYK2  CSNK1A1  KDR  MAP3K7  AKT1  PDK1  PRKCA  JAK1  PRKCD  SYK  PLK1  AXL  YES1  AURKB  LCK  LRRK2  SRC  MTOR  LYN  PIK3C2A  INSRR  DAPK2  FLT4  EPHA3  MAPK9  PIK3CB  TNK2  SPHK2  MYLK  FGFR2  ROCK1  FGFR3  POLB  CSNK2A2  MAP4K4  TXK  FGFR1  GSK3B  TYRO3  MAPK1  CSNK2A1  POLA1  FLT1  MAPK3  CSK  DMPK  AKT2  JAK3  GSK3A  PIK3CG  MET  LIMK1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  PDGFRB  EPHA4  SGK1  PTK2B  PIK3CA  POLK  FLT3  CDK2  COQ8B  MAP2K2  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  CDK4  BLK  CDK9  PIM1  NEK1  PIK3C2G  MAP3K12  IGF1R  ERBB2  CDC42BPA  EGFR  CHEK1  MERTK  KIT  DYRK1A  BRAF  TERT  CDK5  RET  WEE1  PIP4K2C  DAPK3  MAP2K1  CDK1  ALK  INSR  PRKCE  PIK3CD  EIF2AK3  SPHK1  RPS6KA3  ERN1  CLK3  CSF1R  CHEK2  EPHB4  DAPK1  PIM3  NTRK1  CHUK  PRKDC  ILK  CCNE1  CCND1  PIK3R1  CDK5R1  IKBKG  BRD4  TOP1"
3.27508969232448e-70,192,2577,4.06862617074302,"GO:0140096 catalytic activity acting on a protein "," http://amigo.geneontology.org/amigo/term/GO:0140096"," FGR  KDM1A  BTK  PRKCQ  HDAC4  MMP2  AURKA  CMA1  JAK2  ABL1  PTK6  IKBKB  TYK2  PITRM1  LNPEP  CSNK1A1  KDR  ACE2  MAP3K7  MDM2  AKT1  REN  PDK1  PRKCA  ACE  JAK1  PRKCD  SYK  PLK1  AXL  PTPN2  YES1  AURKB  LCK  LRRK2  SRC  DPP4  MTOR  LYN  LAP3  INSRR  DAPK2  FLT4  EPHA3  HDAC9  MAPK9  HDAC7  TNK2  CTSA  MYLK  FGFR2  ROCK1  FGFR3  CSNK2A2  MAP4K4  TXK  FGFR1  PSEN1  PHLPP1  GSK3B  PREP  FKBP1A  TYRO3  HDAC6  MAPK1  EP300  CDC25B  CSNK2A1  FLT1  MAPK3  MMP15  CSK  DMPK  AKT2  JAK3  GSK3A  MET  LIMK1  MAPK8  RPS6KB1  HDAC5  MAPK10  CAMKK2  MAPK14  PDGFRB  EPHA4  HDAC1  MMP8  SGK1  PTK2B  LYPLA1  FLT3  CDK2  MAP2K2  PARP2  RAF1  CASP9  CDK8  EPHB2  ROCK2  PDGFRA  CTSL  CDK4  BLK  CDK9  PIM1  PRCP  NEK1  MMP7  MMP13  ADAM10  CELA1  MAP3K12  IGF1R  ERBB2  PTPRF  CTSK  ACP1  CDC42BPA  PARP1  PSEN2  EGFR  HDAC8  CHEK1  MMP3  ADAM17  MERTK  ADAMTS5  MMP16  MMP14  KIT  DYRK1A  BRAF  ADAMTS4  CTSS  HDAC11  CDC25A  CASP3  CDK5  RET  WEE1  ANPEP  MMP26  DAPK3  BMP1  MAP2K1  CDK1  ALK  INSR  PRKCE  HDAC3  EIF2AK3  RNPEP  DPP7  RPS6KA3  ERN1  CLK3  F2  CSF1R  CHEK2  EPHB4  MME  HDAC2  DAPK1  PIM3  NTRK1  CHUK  PRKDC  MMP12  PIK3CB  HDAC10  F9  PIK3CG  TNKS2  PTPN6  F3  CTSD  SAE1  ILK  TNKS  BACE1  PTPN1  ITGB3  CCND1  PIK3CA  MGAT3  ADAM33  SHH  BRD4  TOP1  VHL  CDK5R1"
1.26315121864787e-54,178,2743,3.54368551061195,"GO:0036094 small molecule binding "," http://amigo.geneontology.org/amigo/term/GO:0036094"," KDM1A  NOS2  SOAT1  HSP90AA1  HSP90AB1  TSPO  TUBB1  POLA1  SOAT2  MAOA  P2RX7  AKT1  NR1H4  NPC1L1  DAPK2  SLC2A3  MAP4K4  ABL1  SQLE  DMPK  AKT2  HSD17B1  P2RX3  VDR  PPARD  PDE10A  HMGCR  PDE4D  HSD11B1  FABP3  RARA  ALOX5AP  PIM1  CDC42BPA  GLRA1  G6PD  DAPK3  INSR  SPHK1  IMPDH2  ERN1  LRRK2  DAPK1  FGR  BTK  PIK3C2A  INSRR  FLT4  EPHA3  MAPK9  PIK3CB  TNK2  SPHK2  MYLK  PRKCQ  FGFR2  ROCK1  FGFR3  CSNK2A2  TXK  ATP12A  ACACB  FGFR1  GSK3B  AURKA  TYRO3  JAK2  MAPK1  PTK6  CSNK2A1  FLT1  MAPK3  CSK  IKBKB  GYS1  TYK2  JAK3  GSK3A  PIK3CG  MET  IMPDH1  LIMK1  DNM1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  CSNK1A1  PDGFRB  EPHA4  SGK1  ABCG2  PTK2B  PIK3CA  FLT3  CDK2  COQ8B  MAP2K2  KDR  TOP2A  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  MAP3K7  CDK4  BLK  CDK9  NEK1  KIF11  PDE5A  PIK3C2G  MAP3K12  IGF1R  ERBB2  ADCY10  PARP1  SRD5A1  EGFR  CHEK1  KCNJ1  PDK1  MERTK  PRKCA  KIT  DYRK1A  BRAF  EIF4A1  JAK1  ATP1A1  ADORA1  FABP1  PRKCD  FABP5  ADCY1  CDK5  SYK  RET  ILK  WEE1  PLK1  PIP4K2C  AXL  MAP2K1  CDK1  ALK  PRKCE  PIK3CD  EIF2AK3  YES1  HSD11B2  RPS6KA3  AURKB  CLK3  CSF1R  LCK  CHEK2  EPHB4  TRPV1  SRC  PIM3  NTRK1  MTOR  CHUK  PRKDC  LYN  PDE4B  TOP1  ALDH2  PPARG  DHCR7  NR1H3  NOX4  CYP19A1  CYP17A1  CYP2C19"
3.69121858708382e-52,140,1729,4.42174833080498,"GO:0032559 adenyl ribonucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0032559"," SOAT1  HSP90AA1  HSP90AB1  SOAT2  P2RX7  AKT1  DAPK2  MAP4K4  ABL1  DMPK  AKT2  P2RX3  PDE10A  HMGCR  PDE4D  PIM1  CDC42BPA  DAPK3  INSR  SPHK1  ERN1  DAPK1  FGR  BTK  PIK3C2A  INSRR  FLT4  EPHA3  MAPK9  PIK3CB  TNK2  SPHK2  MYLK  PRKCQ  FGFR2  ROCK1  FGFR3  CSNK2A2  TXK  ATP12A  ACACB  FGFR1  GSK3B  AURKA  TYRO3  JAK2  MAPK1  PTK6  CSNK2A1  FLT1  MAPK3  CSK  IKBKB  TYK2  JAK3  GSK3A  PIK3CG  MET  LIMK1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  CSNK1A1  PDGFRB  EPHA4  SGK1  ABCG2  PTK2B  PIK3CA  FLT3  CDK2  COQ8B  MAP2K2  KDR  TOP2A  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  MAP3K7  CDK4  BLK  CDK9  NEK1  KIF11  PIK3C2G  MAP3K12  IGF1R  ERBB2  ADCY10  EGFR  CHEK1  KCNJ1  PDK1  MERTK  PRKCA  KIT  DYRK1A  BRAF  EIF4A1  JAK1  ATP1A1  PRKCD  ADCY1  CDK5  SYK  RET  ILK  WEE1  PLK1  PIP4K2C  AXL  MAP2K1  CDK1  ALK  PRKCE  PIK3CD  EIF2AK3  YES1  RPS6KA3  AURKB  CLK3  CSF1R  LCK  CHEK2  LRRK2  EPHB4  TRPV1  SRC  PIM3  NTRK1  MTOR  CHUK  PRKDC  LYN  PDE4B  TOP1"
7.68705160814417e-52,140,1741,4.39127103042034,"GO:0030554 adenyl nucleotide binding "," http://amigo.geneontology.org/amigo/term/GO:0030554"," SOAT1  HSP90AA1  HSP90AB1  SOAT2  P2RX7  AKT1  DAPK2  MAP4K4  ABL1  DMPK  AKT2  P2RX3  PDE10A  HMGCR  PDE4D  PIM1  CDC42BPA  DAPK3  INSR  SPHK1  ERN1  DAPK1  FGR  BTK  PIK3C2A  INSRR  FLT4  EPHA3  MAPK9  PIK3CB  TNK2  SPHK2  MYLK  PRKCQ  FGFR2  ROCK1  FGFR3  CSNK2A2  TXK  ATP12A  ACACB  FGFR1  GSK3B  AURKA  TYRO3  JAK2  MAPK1  PTK6  CSNK2A1  FLT1  MAPK3  CSK  IKBKB  TYK2  JAK3  GSK3A  PIK3CG  MET  LIMK1  MAPK8  RPS6KB1  MAPK10  CAMKK2  MAPK14  CSNK1A1  PDGFRB  EPHA4  SGK1  ABCG2  PTK2B  PIK3CA  FLT3  CDK2  COQ8B  MAP2K2  KDR  TOP2A  RAF1  CDK8  EPHB2  ROCK2  PDGFRA  MAP3K7  CDK4  BLK  CDK9  NEK1  KIF11  PIK3C2G  MAP3K12  IGF1R  ERBB2  ADCY10  EGFR  CHEK1  KCNJ1  PDK1  MERTK  PRKCA  KIT  DYRK1A  BRAF  EIF4A1  JAK1  ATP1A1  PRKCD  ADCY1  CDK5  SYK  RET  ILK  WEE1  PLK1  PIP4K2C  AXL  MAP2K1  CDK1  ALK  PRKCE  PIK3CD  EIF2AK3  YES1  RPS6KA3  AURKB  CLK3  CSF1R  LCK  CHEK2  LRRK2  EPHB4  TRPV1  SRC  PIM3  NTRK1  MTOR  CHUK  PRKDC  LYN  PDE4B  TOP1"
1.16538746123113e-51,54,159,18.5463142252443,"GO:0004713 protein tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0004713"," FGR  BTK  JAK2  ABL1  PTK6  TYK2  KDR  JAK1  SYK  AXL  YES1  LCK  SRC  LYN  INSRR  FLT4  EPHA3  TNK2  FGFR2  FGFR3  TXK  FGFR1  TYRO3  FLT1  CSK  JAK3  MET  PDGFRB  EPHA4  PTK2B  FLT3  EPHB2  PDGFRA  BLK  IGF1R  ERBB2  EGFR  MERTK  KIT  RET  WEE1  ALK  INSR  CLK3  CSF1R  EPHB4  NTRK1  DYRK1A  MAP2K2  NEK1  BRAF  PRKCD  MAP2K1  CAMKK2"
