"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
1.99714450806663e-72,102,530,10.5095780609718,"Path:hsa05200 Pathways in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05200 "," CDK2  CDK4  ADCY1  CHUK  CSF1R  DAPK1  DAPK3  AGTR1  EGFR  EP300  ERBB2  AKT1  AKT2  ESR1  ESR2  F2  F2R  FGFR1  FGFR3  FGFR2  FOXO1  FLT3  FLT4  DAPK2  ALK  MTOR  ABL1  GLI1  GLI2  GRB2  GSK3B  GSTM1  HDAC1  HDAC2  HMOX1  HSP90AA1  HSP90AB1  IGF1R  IKBKB  IL2  IL6  AR  ITGA2B  ITGB1  JAK1  JAK2  JAK3  KIT  MDM2  MET  MMP2  NFE2L2  NOS2  NTRK1  POLK  PDGFRA  PDGFRB  PIK3CA  PIK3CB  PIM1  PIK3CD  PIK3R1  PLCG1  PPARD  PPARG  PRKCA  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  MAP2K2  PTGER1  PTGER2  PTGER3  PTGER4  PTGS2  BAX  RAF1  RARA  RARB  CCND1  BCL2  RELA  RET  ROCK1  RPS6KB1  SHH  BRAF  STAT3  STAT6  TERT  VEGFA  VHL  CASP3  CASP9  IKBKG  CCNA2  WNT3A  CCNE1  ROCK2"
6.09966679838611e-46,67,354,10.3355244528943,"Path:hsa04151 PI3K-Akt signaling pathway","http://www.genome.jp/kegg-bin/show_pathway?hsa04151 "," CDK2  CDK4  CHRM1  CHRM2  CHUK  CSF1R  EGFR  ERBB2  AKT1  AKT2  F2R  FGFR1  FGFR3  FGFR2  FLT1  FLT3  PHLPP1  FLT4  MTOR  GRB2  GSK3B  GYS1  NR4A1  HSP90AA1  HSP90AB1  IGF1R  IKBKB  IL2  IL6  INSR  IRS1  ITGA2B  ITGA4  ITGB1  ITGB3  JAK1  JAK2  JAK3  KDR  KIT  MCL1  MDM2  MET  NTRK1  PDGFRA  PDGFRB  PIK3CA  PIK3CB  PIK3CD  PIK3CG  PIK3R1  PRKCA  MAPK1  MAPK3  MAP2K1  MAP2K2  RAF1  CCND1  BCL2  RELA  RPS6KB1  SGK1  SYK  VEGFA  CASP9  IKBKG  CCNE1"
5.43704074525277e-42,40,97,22.5190069630687,"Path:hsa05215 Prostate cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05215 "," CDK2  CHUK  EGFR  EP300  ERBB2  AKT1  AKT2  FGFR1  FGFR2  FOXO1  MTOR  GRB2  GSK3B  HSP90AA1  HSP90AB1  IGF1R  IKBKB  INSRR  AR  MDM2  MMP3  PDGFRA  PDGFRB  PIK3CA  PIK3CB  PIK3CD  PIK3R1  MAPK1  MAPK3  MAP2K1  MAP2K2  RAF1  CCND1  BCL2  RELA  SRD5A2  BRAF  CASP9  IKBKG  CCNE1"
5.25591619491884e-40,46,161,15.6024548244119,"Path:hsa05206 MicroRNAs in cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05206 "," CYP24A1  EGFR  EP300  ERBB2  FGFR3  MTOR  ABL1  PDCD4  GRB2  HDAC1  HDAC2  HMOX1  IKBKB  IRS1  ITGB3  MCL1  MDM2  MET  MMP16  PDGFRA  PDGFRB  PIK3CA  PIK3CB  PIM1  PIK3CD  PIK3R1  PLCG1  PRKCA  PRKCE  MAPK1  MAPK3  MAP2K1  MAP2K2  PTGS2  RAF1  CCND1  BCL2  ROCK1  STAT3  VEGFA  CASP3  WNT3A  CCNE1  HDAC4  CDC25A  CDC25B"
7.17554688123792e-40,36,79,24.8849279477961,"Path:hsa01521 EGFR tyrosine kinase inhibitor resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01521 "," EGFR  ERBB2  AKT1  AKT2  FGFR3  FGFR2  MTOR  GRB2  GSK3B  IGF1R  IL6  JAK1  JAK2  KDR  MET  PDGFRA  PDGFRB  PIK3CA  PIK3CB  PIK3CD  PIK3R1  PLCG1  PRKCA  AXL  MAPK1  MAPK3  MAP2K1  MAP2K2  BAX  RAF1  BCL2  RPS6KB1  SRC  BRAF  STAT3  VEGFA"
1.697866960279e-35,48,224,11.7018411183089,"Path:hsa05163 Human cytomegalovirus infection","http://www.genome.jp/kegg-bin/show_pathway?hsa05163 "," CDK4  ADCY1  CHUK  CCR1  CCR5  MAPK14  EGFR  AKT1  AKT2  PTK2B  MTOR  GRB2  GSK3B  IKBKB  IL1B  IL6  CXCR2  ITGB3  JAK1  MDM2  PDGFRA  PIK3CA  PIK3CB  PIK3CD  PIK3R1  PRKCA  MAPK1  MAPK3  MAP2K1  MAP2K2  PTGER1  PTGER2  PTGER3  PTGER4  PTGS2  BAX  RAF1  CCND1  RELA  ROCK1  RPS6KB1  SRC  STAT3  VEGFA  CASP3  CASP9  IKBKG  ROCK2"
1.8004175014857e-32,34,100,18.5669212410501,"Path:hsa04933 AGE-RAGE signaling pathway in diabetic complications","http://www.genome.jp/kegg-bin/show_pathway?hsa04933 "," CDK4  MAPK14  AGTR1  AKT1  AKT2  F3  FOXO1  IL1B  IL6  JAK2  MMP2  NOX4  SERPINE1  PIK3CA  PIK3CB  PIM1  PIK3CD  PIK3R1  PLCG1  PRKCA  PRKCD  PRKCE  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  BAX  CCND1  BCL2  RELA  STAT3  VEGFA  CASP3"
3.69134130830826e-32,40,162,13.4836029346769,"Path:hsa05161 Hepatitis B","http://www.genome.jp/kegg-bin/show_pathway?hsa05161 "," CDK2  CHUK  MAPK14  EP300  AKT1  AKT2  PTK2B  GRB2  IKBKB  IL6  JAK1  JAK2  JAK3  PIK3CA  PIK3CB  PIK3CD  PIK3R1  PRKCA  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  MAP2K2  BAX  RAF1  BCL2  RELA  SRC  BRAF  STAT3  STAT6  MAP3K7  TYK2  CASP3  CASP9  IKBKG  CCNA2  CCNE1"
5.75470553921335e-32,33,95,18.9693003391534,"Path:hsa01522 Endocrine resistance","http://www.genome.jp/kegg-bin/show_pathway?hsa01522 "," CDK4  ADCY1  MAPK14  EGFR  ERBB2  AKT1  AKT2  ESR1  ESR2  MTOR  GPER1  GRB2  IGF1R  MDM2  MMP2  PIK3CA  PIK3CB  PIK3CD  PIK3R1  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  MAP2K2  BAX  RAF1  CCND1  BCL2  RPS6KB1  SRC  BRAF"
4.69493807530046e-31,30,76,21.5560231126743,"Path:hsa05212 Pancreatic cancer","http://www.genome.jp/kegg-bin/show_pathway?hsa05212 "," CDK4  CHUK  EGFR  ERBB2  AKT1  AKT2  MTOR  IKBKB  JAK1  POLK  PIK3CA  PIK3CB  PIK3CD  PIK3R1  MAPK1  MAPK3  MAPK8  MAPK9  MAPK10  MAP2K1  BAX  RAF1  CCND1  RELA  RPS6KB1  BRAF  STAT3  VEGFA  CASP9  IKBKG"
